""	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"
"ASV5080|Flexilinea"	0	0	0	0.000170689243163896	0	0.000109757436066293	0.000303405729311522	0	0	0	0.0000294646277144288	0.000150266185814872	0.0000266908663855229	0	0.0000303158915903717	0	0	0	0.0000446897414698456	0.000108156548879035	0.0000273905064504643	0.0000737931136266364	0.000441471117601114	0.000223348893306234	0.000058282700237502	0	0.00019207990524058	0.000533009851492428	0.000529217199558986	0.0000697236618867223	0.000214426623209538	0.000323122657360734	0.000114698629351379	0.000371813762617569	0.000239420602142814	0.0000473567064989187	0.000112386609938187	0.0000179827006419824	0.000168255748738082	0.000135155682451724
"ASV5084|Flexilinea"	0.0000401429087551684	0	0	0	0	0	0.000126419053879801	0.0000655136268343816	0	0	0.000117858510857715	0.000107332989867766	0.0000266908663855229	0	0	0	0	0	0.000536276897638147	0.00013905841998733	0.0000273905064504643	0.000132827604527945	0.000356572825754746	0.000558372233265584	0.000116565400475004	0.000104770552490047	0.0000640266350801934	0.000165416850463167	0.000176405733186329	0.000116206103144537	0.00034308259713526	0.0000646245314721468	0.0000860239720135344	0.000261646721841993	0.0000598551505357036	0.0000473567064989187	0.000192662759894035	0	0	0.0000168944603064655
"ASV11480|Ruminococcaceae"	0.00024085745253101	0.000553020876538089	0.000137950062077528	0.0000341378486327792	0.000350446819695111	0.000384151026232027	0.0000758514323278805	0.000327568134171908	0	0.0000453679339442882	0.000441969415716432	0.000193199381761978	0.000266908663855229	0	0.000090947674771115	0.000116187200817958	0	0.0000275687150221928	0.0000223448707349228	0.000077254677770739	0.000136952532252321	0.0000737931136266364	0.0000169796583692736	0.0000893395573224935	0.000029141350118751	0.000261926381225117	0.00009603995262029	0.000110277900308778	0.0000882028665931643	0.000116206103144537	0.0000643279869628613	0.000129249062944294	0.000114698629351379	0.000179021441260311	0.0000399034336904691	0	0.0000642209199646785	0.0000359654012839648	0.0000747803327724808	0.0000844723015323275
"ASV11860|Ruminococcaceae"	0.000321143270041347	0.000875616387851975	0.000551800248310112	0.000238964940429454	0.000350446819695111	0.000850620129513775	0.000227554296983641	0.00042583857442348	0	0.000249523636693585	0.000383040160287575	0.000193199381761978	0.00037367212939732	0.000149669230999491	0.000121263566361487	0	0.0000942507068803016	0.00019298100515535	0	0	0.0000410857596756964	0.0000442758681759818	0	0	0.000029141350118751	0.0000174617587483411	0.0000640266350801934	0.000018379650051463	0.000117603822124219	0.0000464824412578149	0.00017154129856763	0.000355434923096808	0.0000286746573378448	0.000082625280581682	0.000119710301071407	0.000157855688329729	0.0000321104599823392	0.000215792407703789	0.0000560852495793606	0
"ASV11769|Ruminococcaceae"	0.000401429087551684	0.000553020876538089	0.000220720099324045	0.000477929880858908	0.000233631213130074	0.000576226539348041	0.000303405729311522	0.000196540880503145	0	0.000340259504582161	0.000147323138572144	0.000472265155418169	0.00018683606469866	0.0000299338461998982	0.0000303158915903717	0	0	0.000634080445510435	0	0.000154509355541478	0	0.0000147586227253273	0.0000509389751078208	0	0.0000728533752968775	0.0000873087937417057	0.00009603995262029	0.0000918982502573151	0.0000588019110621095	0.0000232412206289074	0.00017154129856763	0.00019387359441644	0.0000143373286689224	0.000027541760193894	0.000119710301071407	0.0000157855688329729	0	0.0000359654012839648	0.0000186950831931202	0.0000168944603064655
"ASV11669|Ruminococcaceae"	0.000160571635020674	0.000138255219134522	0.000220720099324045	0.00133137609667839	0.000846913147596519	0	0.000505676215519203	0.000687893081761006	0	0	0.000559827926574148	0.000279065773656191	0.000854107724336732	0	0	0.0000232374401635916	0	0.000220549720177543	0	0	0.0000410857596756964	0.0000885517363519636	0	0.000156344225314364	0.00013113607553438	0.000104770552490047	0.00009603995262029	0	0.0000294009555310548	0.0000697236618867223	0.0000643279869628613	0.000129249062944294	0.0000573493146756896	0	0	0	0.0000802761499558481	0.0000899135032099121	0.0000186950831931202	0.0000168944603064655
"ASV11450|Ruminococcaceae"	0.000321143270041347	0.000230425365224204	0.000331080148986067	0.00174103028027174	0.000496466327901408	0.000713423334430908	0.000151702864655761	0.000393081761006289	0	0.0000453679339442882	0.000353575532573146	0.000193199381761978	0.000320290396626275	0.000149669230999491	0.000090947674771115	0.0000929497606543663	0	0	0	0	0.0000958667725766249	0.000236137963605236	0	0.0000446697786612467	0.00013113607553438	0.0000523852762450234	0	0.0000735186002058521	0.0000147004777655274	0.000185929765031259	0.000107213311604769	0.0000646245314721468	0	0.00013770880096947	0.0000199517168452345	0.0000473567064989187	0.0000160552299911696	0.000143861605135859	0.0000373901663862404	0.000168944603064655
"ASV11799|Ruminococcaceae"	0.000361286178796516	0.000645191022627771	0.000910470409711684	0.000682756972655583	0.000467262426260148	0.000932938206563495	0.000935500998710526	0.000393081761006289	0	0	0.000206252394001002	0.00034346556757685	0.000266908663855229	0.000119735384799593	0.000121263566361487	0.000255611841799507	0	0	0	0.000108156548879035	0	0.0000442758681759818	0	0.0000670046679918701	0.000174848100712506	0.0000349235174966823	0.0000640266350801934	0	0.0000147004777655274	0.0000697236618867223	0.0000214426623209538	0.0000323122657360734	0.0000143373286689224	0.000068854400484735	0.00021946888529758	0.0000157855688329729	0.0000481656899735089	0.0000899135032099121	0	0.0000506833809193965
"ASV11501|Ruminococcaceae"	0.0015254305326964	0.00138255219134522	0.00118637053386674	0.000853446215819479	0.00113895216400911	0.00238722423444188	0.00184571818664509	0.0010809748427673	0	0	0.00109019122543387	0.00178172763180491	0.00237548710831154	0.000149669230999491	0.000666949614988177	0.000395036482781057	0.000125667609173735	0.000137843575110964	0.000134069224409537	0.000247214968866365	0.0000273905064504643	0.000206620718154582	0.000152816925323463	0.000156344225314364	0.000116565400475004	0.000296849898721799	0.00009603995262029	0.000275694750771945	0.000352811466372657	0.000348618309433611	0.000407410584098122	0.0000969367972082202	0.000200722601364914	0.000440668163102304	0.000139662017916642	0.000284140238993512	0.0000481656899735089	0.000287723210271719	0.000373901663862404	0.000236522444290517
"ASV5661|Methanosphaera"	0.000200714543775842	0.000138255219134522	0.0000275900124155056	0.0000682756972655583	0	0	0.000202270486207681	0	0	0.0000226839669721441	0.0000294646277144288	0.0000429331959471063	0	0	0	0	0	0	0	0	0	0.0000295172454506545	0.0000339593167385472	0	0	0	0	0	0.00174935685409776	0.0000697236618867223	0.0000428853246419075	0.000807806643401835	0.000100361300682457	0.000123937920872523	0.000119710301071407	0.0000473567064989187	0.000112386609938187	0	0.0000560852495793606	0
