region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV5890.Bacillales	0	0	0	0.016240969	0	0	0	0	0.034140741	6.65764E-05	0	0	0	0	0	0	0	0	0	0	0	0	5.34416E-05	0	0	0	0	0	0	0	1.91461E-05	1.56204E-05	0	0
ASV11282.Romboutsia	0	0	5.43213E-05	0.052365931	4.21941E-05	0	0	0	0.067893029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02796E-05	2.12718E-05	0	9.57304E-06	0	0	0
ASV13451.Ruminococcaceae_UCG.010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014556157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.57304E-06	0	0	0
ASV4118.Alistipes	0	0	0	2.03521E-05	0	0	0	0	0	0	0	0	4.35218E-05	0	0	0.006151236	1.69834E-05	0	0	0	0	0	0	0	0	1.23253E-05	0	0	0	0	0	0	0	0
ASV4119.Alistipes	0	2.30165E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005594443	0	0	0	0	0	0	0	0	0	1.23253E-05	0	0	0	0	1.91461E-05	0	0	0
ASV11290.Lysinibacillus	0.001945733	0	0	0.019700824	0	0.001093657	0.000115837	0.000540249	0.039630883	0	1.99398E-05	0	0	0.000371195	4.60469E-05	0	0	0	0	0.000104795	0	0.000440078	0.002921476	0.000233859	2.7947E-05	0	6.94242E-05	0	2.12718E-05	0	9.57304E-05	6.24815E-05	0	0
ASV13453.Ruminococcaceae_UCG.010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004374801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV11296.Planococcaceae	0.008582547	0.000230165	0	0.000447746	0	0.00357924	0.000270286	0.002097435	0.004972204	0.000110961	0	0	0.00023937	0.008821346	0.000161164	0	3.39668E-05	0.000131456	0	0.000329356	7.73168E-05	0.019122115	0.031548382	0.002182683	0.000251523	2.46506E-05	0.000180503	0	5.31796E-05	0.000649045	0.00053609	0.000187444	0	1.82372E-05
ASV11312.Solibacillus	0.000106615	0	0	0.000122113	0	0.003711805	0	0.004385547	0.000241704	0.000377266	0	0	0	0.00065505	0	0	0	0	0	0	0	0.000227137	0.000463161	0.000194882	0	0	0	0	0	0.000165443	0.001694428	7.81018E-05	0	0
ASV1939.Bacteroidales	0	0	0	0.368535667	0.000105485	0	0	0	0.001821415	0	0	0	0	0	0	0	0	1.19506E-05	0	1.49707E-05	0	0	8.90694E-05	1.94882E-05	2.7947E-05	0	5.55394E-05	0	1.06359E-05	1.27264E-05	0	0	0	3.64744E-05
ASV5777.Fibrobacter	2.66539E-05	0.002646903	0.045122857	0	0.016308017	0.002054749	0.001756859	0.008739314	0	0.001908524	0.036190704	0.001043449	0.017626322	0.005982794	0.004259336	0	0.000577436	0.012464447	0.009978744	0.006781742	0.002474138	0.001007921	0.001068833	0.004014577	0.006092449	0.007395173	0.000930284	0.006496711	0.024781698	0.008653932	0.002268811	0.006263765	0.005690038	0.024693159
ASV5045.Chishuiella	0.262487339	0.004373144	0	2.03521E-05	0	0.027540266	0	0.001144056	3.45292E-05	0	0	0.000855628	0.00097924	0.010153282	0.000161164	0	0	0	0	5.98829E-05	0	0.003903921	0.001371669	0.000467718	0.00322788	0	2.77697E-05	1.02796E-05	6.38155E-05	0.000954478	0.000488225	0.000671676	0	0
ASV12979.Ruminococcaceae_NK4A214	0.009195586	0.003429466	0.002317707	0	0.005632911	0.007688739	0.008514007	0.012965964	0	0.010341537	0.005822416	0.00267123	0.00415633	0.001353771	0.003430492	0	0.000679336	0.00521045	0.005092702	0.012904771	0.017968424	0.001788706	0.001353855	0.004365366	0.003591191	0.006125669	0.004526458	0.001953125	0.020101892	0.005383255	0.022324335	0.001765101	0.007591309	0.0029909
ASV11150.Pseudobutyrivibrio	0.001199424	0.024167376	0.003766274	0	0.009367089	0.008384702	0.007973435	0.001970318	3.45292E-05	0.014092009	0.015154234	0.009057139	0.000348174	0.00021835	0.001082102	0	0.000611403	0.00063338	0.000560935	0.000673683	0.000494828	0.00119247	5.34416E-05	0.001481106	0.004317813	0.002834816	0.001568987	0.001212993	0.000712607	0.002558	0.002852767	0.001999406	0.002741689	0.00091186
ASV17992.Treponema_2	0.001146117	0.019080719	0.011335035	0	0.004810127	0.006363094	0.001390042	0.012648171	0	0.002263598	0.011784411	0.014190909	0.0038952	0.00069872	0.001105125	0	0.000305701	0.000920194	0.002671823	0.007605132	0.007453339	0.001490588	0.000748183	0.008555337	0.000167682	0.002859467	0.0004582	3.08388E-05	0.000393529	0.000814488	0.002498564	0.000468611	0.000330656	0.001860194
ASV4377.Rikenellaceae_RC9	0	0	0	0	0	0	0	0	8.6323E-06	0	0	0	0	0	0	0.004560399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV5782.Fibrobacter	0.000133269	0.006444634	0.019609973	0	0.012151899	0.001391927	0.002644941	0.001493628	1.72646E-05	0.00062138	0.01828478	0.004069452	0.013992253	0.001965151	0.002578625	0	0.000118884	0.00521045	0.004133207	0.014985703	0.009540893	0.000951137	0.000605672	0.014577203	0.001257616	0.004732911	0.000597048	0.014278372	0.006838898	0.007801265	0.004824813	0.003170934	0.003499442	0.001386027
ASV17507.Acinetobacter	0.001759156	0	0	0	0	0.000662822	0	0.001048718	2.58969E-05	0	0	0	0	0.000152845	0	0.000981016	0	0	0	0	0	0.000212941	0.011454325	1.94882E-05	0.000111788	0.000221855	0	1.02796E-05	0	0.000127264	0.000143596	0.000234305	2.75547E-05	0
ASV2557.Bacteroidales_p.251.o5	0.001465963	0.024351509	0.012530103	0	0.010126582	0.003347253	0.008205108	0.029300537	0	0.000976454	0.04935096	0.007450227	0.008682596	0.003842963	0.003913984	0	0.001341689	0.003298358	0.002598016	0.001556956	0.000742241	0.002739843	0.001389483	0.018455362	0.003102118	0.000480686	0.000388775	0.000431743	0.005158422	0.010601066	0.00053609	0.000203065	0.000179105	0.008243211
ASV17994.Treponema_2	0.000186577	0.00133496	0.001955565	0	0.000654008	9.94233E-05	0.000791552	6.35586E-05	0	0.000133153	0.002253195	0.000104345	0.001175088	0.000589545	0.000713727	0	3.39668E-05	0.001183107	0.000531412	0.003338473	0.003556573	0.000582039	0.000160325	0.000545671	0.000209603	0.000554638	0.000124964	0.000328947	0.000840238	0.000470876	0.000392495	0.000452991	0.000137773	0.001094232
ASV2850.Bacteroidia	0.001545925	0.006191452	0.008872472	0	0.00478903	0.004341486	0.00399637	0.008739314	0	0.002929362	0.002153496	0.01047623	0.0082909	0.005131228	0.002187227	0	0.002021025	0.008544659	0.006967407	4.49122E-05	0.000216487	0.00567843	0.019167735	0.009003566	0.007769269	0.003808514	0.003026895	0.002312911	0.005200966	0.006948598	0.004384453	0.003358378	0.011421407	0.006401255
ASV13471.Ruminococcaceae_UCG.010	0	0	0	0	0	0	0	0	0	0	0	0	6.52827E-05	0	0	0.003420299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV17508.Acinetobacter	0.003465003	0	0	2.03521E-05	2.1097E-05	0.006031683	0	0.005815616	0.000138117	4.43843E-05	1.99398E-05	0	6.52827E-05	0.008078955	0	0	0	0	0	0	0	0.000809176	0	1.94882E-05	0.000377285	0	0	0	0	0.001883503	0.000679686	0.000781018	0	0
ASV3469.Prevotellaceae	0.015432592	0.015098856	0.008781936	0	0.013860759	0.02230397	0.015850339	0.013410875	0	0.02354586	0.004486451	0.012187487	0.001479741	0.000196515	0.001588617	0	0.000254751	0.002210856	0.000693788	0.004191805	0.003572036	0.001022117	0.001211344	0.002377565	0.002179867	0.003032021	0.004207106	0.000370066	0.002148456	0.003690647	0.002881486	0.00471735	0.002741689	0.00116718
ASV15516.Ruminococcus_1	0.009142278	0.004212028	0.003349811	0	0	0	0.023283202	0.018622684	0	0.013870087	0.037387091	0.042844025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV19337.Akkermansia	0	0	0	0	0	0	0	0	0	2.21921E-05	0	0	6.52827E-05	0	0	0.007158766	0	0	0	0	0	1.41961E-05	0	0	0	0	0	0	0	0	0	0	0	0
ASV3470.Prevotellaceae	0.000613039	0.000483348	0.000470784	0	0.000548523	0.000629681	0.001370736	0.001525408	0	0.002707441	0.00819525	0.000897366	0.001740871	0.001441111	0.001588617	0	0.000679336	0.001792586	0.001490907	0.038534665	0.034436902	0.000809176	0.000445347	0.000799018	0.000782516	0.002058323	0.001221866	0.000544819	0.008349199	0.003321583	0.003551599	0.003514582	0.00794952	0.002243175
ASV11297.Planococcaceae	2.66539E-05	0	0	0.007774499	0	0	0	0	0.008399227	0	0	0	0	0	0	0	1.69834E-05	0	0	0	0	2.83922E-05	7.12555E-05	0	0	0	0	0	0	0	0	0	4.1332E-05	7.29488E-05
NA.	0.005384082	0.012198771	0.00347656	0.000508802	0.008270042	0.011731955	0.005869066	0.00235167	0.02399779	0.019839773	0.004027836	0.000876497	0.00047874	0.00021835	6.90703E-05	0	0.000254751	0.000979947	4.42844E-05	4.49122E-05	6.18534E-05	0	3.56278E-05	0.003956112	0	0.000480686	0.001235751	0.000462582	0.000925325	0.000801761	0.000631821	0.001202768	8.2664E-05	7.29488E-05
ASV12981.Ruminococcaceae_NK4A214	0	0	0	0.001668871	0	0	1.93061E-05	0	0.001691931	4.43843E-05	0	0	0	0	0	0	1.69834E-05	0	0.00010333	0	0	0	5.34416E-05	0	0	0	0	0	0	0	9.57304E-06	0	2.75547E-05	3.64744E-05
ASV2787.Bacteroidales_UCG.001	0.000772962	9.20662E-05	0.038350807	0	0.002341772	0.000861669	0.005502249	0.001970318	0	0.004904463	0.000279157	2.0869E-05	0.007899204	0.001965151	0	0	0.002530528	0.001434069	0.003026098	0.001287483	0.001237069	0.000553647	0.008532849	0.001753941	0.003968476	0.016737743	0.003110204	0.009344161	0.001627296	0.001259911	0.009190121	0.001343351	0.000192883	0.001604873
ASV11280.Paeniclostridium	0	0	0	0.016322377	0	0	0	0	0.023505749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37773E-05	0
ASV17998.Treponema_2	0.001066155	0.002209589	0.045177178	0	0.001877637	0.00357924	0.001196981	0.00562494	1.72646E-05	0.003395397	0.055970968	0.001460829	0.000348174	0.000458535	9.20938E-05	0	6.79336E-05	0.002055498	0.001741852	0.001946195	0.002103017	0.001149882	5.34416E-05	0.008750219	0.000978145	0.001405083	0.000347121	0.000195313	0.003509854	0.003767006	0.001704002	0.000359268	0.000564871	0.001969617
ASV11283.Romboutsia	0	0	0	0.014511041	0	0	0	0	0.012827596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1944.Bacteroidales	5.33077E-05	0.004096946	0.0066453	0	0.000759494	0.002783854	0.000695021	0.000254235	0	0.006235991	0	4.1738E-05	0.000544022	0.00013101	0	0	0.08887417	0	0.00010333	0	1.54634E-05	0	0.001531994	0.013953579	0	0	0.012260313	0.000812089	0	0	0.002010339	0.000452991	0.000909304	0.001258366
ASV1945.Bacteroidales	0.002558772	0.004557277	0.021746609	0	0.012805907	0.014747796	0.003262737	0.007023231	0	0.014558044	0.015752428	0.001085187	0.000848675	0.002336347	0.00140443	0	0.000985038	0.007421305	0.000693788	0.000763507	0.000463901	0.001334431	0	0.007132695	0.00023755	0.001626938	0.001471793	0.001531661	0.000584976	0.015831605	0.000986023	0.001796342	0.00061998	0.007951416
ASV3869.Prevotellaceae_UCG.003	0.002585426	0.004327111	0.002100422	0	0.004451477	0.003413535	0.002683553	0.00613341	0	0.009342891	0.004067715	0.007220669	0.003481743	0.004083148	0.004167242	0	0.000288718	0.002963742	0.001697567	0.005838586	0.006138954	0.003123137	0.00023158	0.001734453	0.004653178	0.001626938	0.000971939	0.000380345	0.01280565	0.00441605	0.005351331	0.004030054	0.007219321	0.014863312
ASV11275.Clostridioides	0	0	0	0.006634782	2.1097E-05	0	0	0	0.005533303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV8707.Agathobacter	0.001412655	0.001795291	0.007894689	0	0.02056962	0.007622456	0.001061838	0.007213907	0	0.007168061	0.005882236	0.00225385	0.000500501	0.000283855	0.000184188	0	0.000254751	0.00041827	0	0.000104795	0.000247414	0.000156157	0.000160325	0	0.000433179	0.001343457	0.001013593	0.000205592	0.001510301	0.001247184	0.001378518	0.001109046	0.000688867	0.000346507
ASV2854.Bacteroidia	0.000186577	0.000483348	0.000289713	0	0.003607595	0.002916418	0.004363187	0.004194871	0	0.001087415	5.98193E-05	0	0.002698351	0.001593956	4.60469E-05	0	0.000424585	0.001625278	0.002081365	0.00020959	0.000154634	0.004230431	0.001977341	0.005398242	0.00131351	0.045098233	0.015773177	0.000246711	0.001159315	0.005879583	0.001512541	0.003983192	0.0010333	0.003063848
NA..1	0.000106615	2.30165E-05	0.000162964	8.14084E-05	0.000105485	0.000198847	7.72245E-05	9.5338E-05	0.000517938	0.000798917	7.97591E-05	0	0.002219611	0.000414865	0.000161164	0	0.000254751	0.000334616	0.000250945	0.001556956	0.00170097	0.000127765	0.000338464	0.000175394	0.000125762	0.00020953	6.94242E-05	0.000400905	0.000818966	0.000127264	0.00022018	0.000312407	5.51093E-05	1.82372E-05
ASV1946.Bacteroidales	0	0	0.002480671	0	0.005421941	0.003479817	0.000579184	0	0	0.00062138	0	0	0.011011011	0.009782087	0	0	0	0.029494013	0.001712329	0	9.27802E-05	0.004613725	0.003206499	0	0.002585099	0	0.025603643	0.000832648	0.000414801	2.54527E-05	0.000564809	0.001077805	0.010911646	0.004486349
ASV1947.Bacteroidales	7.99616E-05	0.005685088	0.00043457	0	0.00242616	0.000828528	0.007239802	0.001906759	0	0.000199729	0.00093717	0.002170374	0.001501502	0.003908468	0.009969149	0	0.001902142	0.003585172	0.004369391	0.000179649	4.63901E-05	0.003889725	0.010456748	0.003313001	0.010829467	0.005114995	0.006012135	0.003865132	0.012454664	0.003219772	0.002431553	0.002921008	0.003223895	0.004322215
ASV11313.Solibacillus	0.006850045	0	0	0.000305281	0	0.003844369	0.000231674	0.001747863	0.000897759	0	0	0	6.52827E-05	0.002816717	9.20938E-05	0	0	0	0	0.000164678	6.18534E-05	0.00296698	0.014393616	0.001013388	0.000489073	0.000197205	0.000124964	0	1.06359E-05	0.000203622	0.000459506	0.000171824	0	0
ASV15837.Kiritimatiellae_WCHB1.41	0	0.000115083	0.000199178	0	0.000611814	0.000828528	0.001023225	3.17793E-05	0	8.87686E-05	0.001595183	6.2607E-05	0.004743874	0.000917071	0.000391398	0	0.000169834	0.005126796	0.026201582	7.48537E-05	0.00013917	0.026986741	0.019043038	0.000896459	0.004206025	0.001898095	0.000944169	0.001603618	0.003212048	0.00427606	0.00242198	0.004514285	0.001074632	0.000182372
ASV1949.Bacteroidales	0.003998081	0.030911225	0.034258605	0	0.025696203	0.023331345	0.004285963	0.008421521	0	0.007168061	0.024067317	0.002232981	0	0	9.20938E-05	0	0	0.000131456	8.85687E-05	0	0	0	3.56278E-05	0	2.7947E-05	0	0	6.16776E-05	2.12718E-05	0.001183552	1.91461E-05	0	0	0.000528879
ASV4041.Prevotellaceae_UCG.004	0	0	0	0	0	0	0	3.17793E-05	0	0	0	0	0	0	0	0.007185279	0	0	0	1.49707E-05	0	0	1.78139E-05	0	0	1.23253E-05	1.38848E-05	0	1.06359E-05	0	9.57304E-06	0	0	0
ASV3870.Prevotellaceae_UCG.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004639941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV2559.Bacteroidales_p.251.o5	0	0.029461183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV17509.Acinetobacter	0.015512554	4.60331E-05	0	0.000223873	0	0.005435143	0	0.003877078	0.001260316	0	1.99398E-05	0	0.000435218	0.008231801	0	0	0	0	0	1.49707E-05	0	0.01306039	0.00445347	0.000272835	0.001397351	3.69759E-05	0	0	5.31796E-05	0.000979931	0.000804136	0.002389915	6.88867E-05	0
ASV13233.Ruminococcaceae_UCG.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005064164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV18001.Treponema_2	0.000506424	0.002900085	0.008365473	0	0.005822785	0.00089481	0.000579184	0.001557187	0	0.006768603	0.003609101	0.000479987	0.002306654	0.001462946	0.001128148	0	0.000883137	0.004361959	0.002701346	0.00285941	0.000943265	0.005862979	0.000534416	0.002728353	0.002599072	0.003549683	0.003110204	0.004492188	0.002786612	0.014177177	0.003417576	0.005295303	0.003912762	0.008206737
ASV15840.Kiritimatiellae_WCHB1.41	7.99616E-05	0.000943679	0.000832926	0	0.000822785	0.00029827	0.000444041	0.000667366	0	0.000355074	0.002153496	0.000292166	0.004265135	0.001834141	0.015909196	0	0.00383825	0.003214704	0.006539325	0.003398356	0.005350322	0.003605803	0.002600827	0.003956112	0.003577218	0.00599009	0.004040488	0.005150082	0.004201189	0.002379831	0.008797626	0.002249332	0.001777276	0.005142888
ASV19293.Mycoplasma	2.66539E-05	0.001035745	0.001013997	0	0.001624473	0.000265129	0.002007838	0.000222455	0	0.000133153	0.000558314	0.001085187	0.012055534	0.007205555	0.007920063	0	0.004568537	0.011102082	0.007026453	0.000179649	0.001097899	0.008943528	0.006466439	0.003215559	0.0053798	0.001121601	0.005720554	0.000185033	0.005605131	0.002647085	0.00317825	0.002108749	0.002383478	0.002936188
