Group,sample_date,sample_month,sample_year,species,species_short,tax_name,Order,Family,Genus,broad_diet,digestive_system,fermenter,diet_guild,region
COW230,7-Mar-15,march,2015,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,herbivore,ruminant,foregut,grazer,Laikipia
COW231,7-Mar-15,march,2015,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,herbivore,ruminant,foregut,grazer,Laikipia
COW250,11-Mar-15,march,2015,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,herbivore,ruminant,foregut,grazer,Laikipia
COW251,11-Mar-15,march,2015,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,herbivore,ruminant,foregut,grazer,Laikipia
COW252,11-Mar-15,march,2015,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,herbivore,ruminant,foregut,grazer,Laikipia
COW253,11-Mar-15,march,2015,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,herbivore,ruminant,foregut,grazer,Laikipia
COW254,11-Mar-15,march,2015,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,herbivore,ruminant,foregut,grazer,Laikipia
LM0066,18-Jul-16,july,2016,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,herbivore,ruminant,foregut,grazer,Laikipia
LM0107,19-Jul-16,july,2016,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,herbivore,ruminant,foregut,grazer,Laikipia
LM0108,19-Jul-16,july,2016,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,herbivore,ruminant,foregut,grazer,Laikipia
LM0109,19-Jul-16,july,2016,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,herbivore,ruminant,foregut,grazer,Laikipia
LM0273,29-Jul-16,july,2016,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,herbivore,ruminant,foregut,grazer,Laikipia
LM0274,29-Jul-16,july,2016,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,herbivore,ruminant,foregut,grazer,Laikipia
LM0275,29-Jul-16,july,2016,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,herbivore,ruminant,foregut,grazer,Laikipia
LM0276,29-Jul-16,july,2016,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,herbivore,ruminant,foregut,grazer,Laikipia
