Group,sample_date,sample_month,sample_year,species,species_short,tax_name,Order,Family,Genus,broad_diet,digestive_system,fermenter,diet_guild,region
LM0203,25-Jul-16,july,2016,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,herbivore,ruminant,foregut,mixed_feeder,Laikipia
WAR103,28-Oct-14,october,2014,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
WAR104,29-Oct-14,october,2014,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
WAR106,29-Oct-14,october,2014,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
WAR107,30-Oct-14,october,2014,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
WAR109,30-Oct-14,october,2014,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
WAR201,4-Mar-15,march,2015,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
WAR202,10-Mar-15,march,2015,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
WAR203,10-Mar-15,march,2015,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
WAR204,10-Mar-15,march,2015,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
WAR205,13-Mar-15,march,2015,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
WAR206,18-Mar-15,march,2015,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0148,21-Jul-16,july,2016,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0149,21-Jul-16,july,2016,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0156,22-Jul-16,july,2016,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0157,22-Jul-16,july,2016,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0158,22-Jul-16,july,2016,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0159,22-Jul-16,july,2016,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0160,22-Jul-16,july,2016,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0161,22-Jul-16,july,2016,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0230,27-Jul-16,july,2016,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0244,28-Jul-16,july,2016,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
LM0245,28-Jul-16,july,2016,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Laikipia
PLA101,26-Oct-14,october,2014,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,herbivore,non-ruminant,hindgut,grazer,Laikipia
PLA102,27-Oct-14,october,2014,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,herbivore,non-ruminant,hindgut,grazer,Laikipia
PLA103,27-Oct-14,october,2014,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,herbivore,non-ruminant,hindgut,grazer,Laikipia
PLA104,28-Oct-14,october,2014,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,herbivore,non-ruminant,hindgut,grazer,Laikipia
PLA105,28-Oct-14,october,2014,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,herbivore,non-ruminant,hindgut,grazer,Laikipia
PLA109,30-Oct-14,october,2014,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,herbivore,non-ruminant,hindgut,grazer,Laikipia
PLA201,2-Mar-15,march,2015,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,herbivore,non-ruminant,hindgut,grazer,Laikipia
PLA202,4-Mar-15,march,2015,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,herbivore,non-ruminant,hindgut,grazer,Laikipia
PLA203,4-Mar-15,march,2015,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,herbivore,non-ruminant,hindgut,grazer,Laikipia
PLA204,4-Mar-15,march,2015,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,herbivore,non-ruminant,hindgut,grazer,Laikipia
PLA205,4-Mar-15,march,2015,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,herbivore,non-ruminant,hindgut,grazer,Laikipia
PLA209,13-Mar-15,march,2015,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,herbivore,non-ruminant,hindgut,grazer,Laikipia
LM0295,10-Jul-16,july,2016,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,herbivore,non-ruminant,hindgut,grazer,Laikipia
LM0055,18-Jul-16,july,2016,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,herbivore,non-ruminant,hindgut,grazer,Laikipia
LM0073,18-Jul-16,july,2016,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,herbivore,non-ruminant,hindgut,grazer,Laikipia
LM0074,18-Jul-16,july,2016,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,herbivore,non-ruminant,hindgut,grazer,Laikipia
LM0098,19-Jul-16,july,2016,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,herbivore,non-ruminant,hindgut,grazer,Laikipia
LM0215,25-Jul-16,july,2016,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,herbivore,non-ruminant,hindgut,grazer,Laikipia
LM0229,26-Jul-16,july,2016,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,herbivore,non-ruminant,hindgut,grazer,Laikipia
AN20,16-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN166,19-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN191,19-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN195,19-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN22,19-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN46,19-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN61,19-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN115,28-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN190,8-Apr-18,april,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN122,29-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN130,29-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN133,29-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN134,29-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN6,29-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN62,29-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN92,29-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN199,22-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN101,26-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN44,30-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN138,27-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN145,27-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN39,27-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN67,27-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN90,27-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN13,24-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN139,24-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN160,24-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN187,24-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN34,24-Mar-18,march,2018,Olive_baboon,Baboon,Papio anubis,Primata,Cercopithecidae,Papio,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN157,6-Jun-18,june,2018,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,hervivore,ruminant,foregut,grazer,Masai_Mara
AN15,22-Apr-18,april,2018,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,hervivore,ruminant,foregut,grazer,Masai_Mara
AN185,22-Apr-18,april,2018,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,hervivore,ruminant,foregut,grazer,Masai_Mara
AN159,24-Apr-18,april,2018,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,hervivore,ruminant,foregut,grazer,Masai_Mara
AN47,24-Apr-18,april,2018,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,hervivore,ruminant,foregut,grazer,Masai_Mara
AN206,29-Apr-18,april,2018,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,hervivore,ruminant,foregut,grazer,Masai_Mara
AN121,20-Apr-18,april,2018,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,hervivore,ruminant,foregut,grazer,Masai_Mara
AN152,3-May-18,may,2018,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,hervivore,ruminant,foregut,grazer,Masai_Mara
AN204,3-May-18,may,2018,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,hervivore,ruminant,foregut,grazer,Masai_Mara
AN49,3-May-18,may,2018,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,hervivore,ruminant,foregut,grazer,Masai_Mara
AN51,3-May-18,may,2018,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,hervivore,ruminant,foregut,grazer,Masai_Mara
AN57,3-May-18,may,2018,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,hervivore,ruminant,foregut,grazer,Masai_Mara
AN147,2-Apr-18,april,2018,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,hervivore,ruminant,foregut,grazer,Masai_Mara
AN71,2-Apr-18,april,2018,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,hervivore,ruminant,foregut,grazer,Masai_Mara
AN75,2-Apr-18,april,2018,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,hervivore,ruminant,foregut,grazer,Masai_Mara
AN117,12-May-18,may,2018,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,hervivore,ruminant,foregut,grazer,Masai_Mara
AN140,4-May-18,may,2018,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,hervivore,ruminant,foregut,grazer,Masai_Mara
AN31,4-Apr-18,april,2018,African_buffalo,Buffalo,Syncerus caffer,Artiodactyla,Bovidae,Syncerus,hervivore,ruminant,foregut,grazer,Masai_Mara
AN21,15-Mar-18,march,2018,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,hervivore,ruminant,foregut,grazer,Masai_Mara
AN129,21-Mar-18,march,2018,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,hervivore,ruminant,foregut,grazer,Masai_Mara
AN17,21-Mar-18,march,2018,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,hervivore,ruminant,foregut,grazer,Masai_Mara
AN78,21-Mar-18,march,2018,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,hervivore,ruminant,foregut,grazer,Masai_Mara
AN1,28-Mar-18,march,2018,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,hervivore,ruminant,foregut,grazer,Masai_Mara
AN12,28-Mar-18,march,2018,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,hervivore,ruminant,foregut,grazer,Masai_Mara
AN123,28-Mar-18,march,2018,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,hervivore,ruminant,foregut,grazer,Masai_Mara
AN144,28-Mar-18,march,2018,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,hervivore,ruminant,foregut,grazer,Masai_Mara
AN194,28-Mar-18,march,2018,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,hervivore,ruminant,foregut,grazer,Masai_Mara
AN23,28-Mar-18,march,2018,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,hervivore,ruminant,foregut,grazer,Masai_Mara
AN110,26-Mar-18,march,2018,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,hervivore,ruminant,foregut,grazer,Masai_Mara
AN169,26-Mar-18,march,2018,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,hervivore,ruminant,foregut,grazer,Masai_Mara
AN48,26-Mar-18,march,2018,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,hervivore,ruminant,foregut,grazer,Masai_Mara
AN70,26-Mar-18,march,2018,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,hervivore,ruminant,foregut,grazer,Masai_Mara
AN16,21-Jun-18,june,2018,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN24,22-Jun-18,june,2018,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN189,20-Mar-18,march,2018,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN131,20-Mar-18,march,2018,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN113,23-Jun-18,june,2018,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN150,23-Jun-18,june,2018,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN56,16-Jun-18,june,2018,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN112,19-Apr-18,april,2018,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN203,6-Jun-18,june,2018,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,hervivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN105,20-May-18,may,2018,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,hervivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN182,20-May-18,may,2018,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,hervivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN87,3-Jun-18,june,2018,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,hervivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN54,25-May-18,may,2018,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,hervivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN171,6-Apr-18,april,2018,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,hervivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN161,9-Apr-18,april,2018,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,hervivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN89,9-Apr-18,april,2018,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,hervivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN179,14-May-18,may,2018,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,hervivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN178,8-Apr-18,april,2018,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,hervivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN69,8-Apr-18,april,2018,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,hervivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN86,30-Mar-18,march,2018,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,hervivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN7,5-Jun-18,june,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN102,20-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN127,20-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN173,20-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN45,20-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN11,19-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN188,19-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN52,19-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN165,6-Apr-18,april,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN198,17-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN82,17-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN146,18-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN119,30-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN128,30-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN208,30-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN32,30-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN4,30-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN85,30-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN156,31-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN27,31-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN35,31-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN80,31-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN94,31-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN98,31-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN99,31-Mar-18,march,2018,Masai_giraffe,Giraffe,Giraffa camelopardalis tippelskirchii,Artiodactyla,Giraffidae,Giraffa,hervivore,ruminant,foregut,browser,Masai_Mara
AN76,20-Jun-18,june,2018,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN192,28-Apr-18,april,2018,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN162,29-Apr-18,april,2018,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN100,9-May-18,may,2018,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN184,2-Apr-18,april,2018,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN111,31-May-18,may,2018,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN2,21-Mar-18,march,2018,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN148,13-May-18,may,2018,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN186,13-May-18,may,2018,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN53,13-May-18,may,2018,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN73,13-May-18,may,2018,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
