region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV11295.Planococcaceae	0.00024728	9.45686E-05	5.93014E-05	7.01804E-05	0.000148031	6.87179E-05	0.000144437	0.000542993	0.00103931	0.007688211	0.012157477	0.00258609	0.000985222	0.008017687	0.007954403	0.000547862	2.72963E-05	0	8.35338E-05	0.000139875	0.000300402	0.002004393	4.74226E-05	0.000216403	0	2.0113E-05	0.001830048	0.008081748	0.000945028	0.014870009	0.007209315	0.000874668	0.000394459	0.004846482	0.001654037
ASV13444.Ruminococcaceae_UCG.010	0.001126497	0.002805535	0.00166044	0.001666784	0.000123359	0.001202563	0.000309508	0.001008416	0.007825396	0.00332823	0.004606544	0.003436777	0.002298851	0.002850141	0.003523112	0.00791356	0.000941722	0.001248333	0.002004812	0.000594468	0.004662766	0.005834706	0.006923697	0.00878237	0.008005533	0.007924536	0.012583607	0.007994535	0.008857637	0.004632704	0.010229197	0.007426727	0.008192618	0.007724081	0.00817402
ASV4115.Alistipes	0.006731509	0.004255587	0.001719741	0.0057197	0.006167966	0	0.005963189	0.004111236	0.004524057	0.004859216	0.004321603	0.004015244	0.001970443	0.004181983	0.004979331	0.001917516	0.002975297	0.002411553	0.000417669	0.006032101	0.00377462	0.002759473	0.006085898	0.004382168	0.004996974	0.003660572	0.002283512	0.00210765	0.001441568	0.002202964	0.004538552	0.002226428	0.006265835	0.002794988	0.002654152
ASV13445.Ruminococcaceae_UCG.010	0.00203319	0.000472843	0.000652316	0.000754439	0.000468765	0.000206154	0.000804721	0.000969631	0.001895213	0.003594488	0.002469488	0.002007622	0.001970443	0.001971126	0.002458349	0.000334804	0	0.002042727	0.00237236	0.010455642	0.003866047	0.004708951	0.002371129	0.007501984	0.002991268	0.003157747	0.004064975	0.003270491	0.002354562	0.001846602	0.003369002	0.004929947	0.002048154	0.004915324	0.002115629
ASV17976.Treponema_2	0.002555226	0.002080509	0	0.009298898	0	0	0.004642621	0.003451887	0.000122272	0.000266258	0.001709645	0.00068055	0.001313629	0.001145384	0.001049104	0	0	0.003971969	0.000584737	0.028551946	0.004466851	0.002663372	0.047786156	0.001713193	0.002956687	0.006938997	0.001943414	7.26776E-05	0.000672732	0.004081963	0.003753033	0.001304051	0.000758576	0.000826105	0.000692388
ASV4037.Prevotellaceae_UCG.004	0.007638202	0.008006809	0.01328352	0.008351463	0.004736998	0.019034857	0.010935952	0.001008416	0.006969493	0.005857685	0.012679869	0.007554104	0.002955665	0.004474988	0.013779281	0.007487445	0.001009963	0.000609981	0.00180433	0.004808197	0.009560629	0.006891818	0.006512701	0.002254202	0.003786634	0.005068485	0.002704585	0.014709944	0.00448488	0.003417834	0.002304188	0.002973871	0.005461745	0.002836294	0.004173558
ASV1934.Bacteroidales	0.004835696	0.005138228	0.004506909	0.005456523	0.003996842	0.005652047	0.008171014	0.005119652	0.00641927	0.006190508	0.001282234	0.004627739	0.002955665	0.007032124	0.00227045	0	0.006319094	0.013930264	0.004878375	0.008917019	0.002390157	0.001386601	0.004315455	0.002272235	0.00273191	0.005189163	0.003692487	0.004404262	0.005301768	0.005572204	0.002129628	0	0.003155675	0.001789894	0.005192907
ASV13446.Ruminococcaceae_UCG.010	0.001181449	0.002048987	0.000177904	0.000263176	0.000567453	0	0.000330142	0.000969631	0.003851562	0.00203022	0.002089566	0.002960392	0.001642036	0.00261041	0.002849806	0.00292193	0.000300259	0.000879507	0.006582465	0	0.01927799	0.020689182	0.00403092	0.001316454	0.004305351	0.004465094	0.008631998	0.006773551	0.000544593	0.002121973	0.007261682	0.013517597	0.004779027	0.008205975	0.010443513
ASV13220.Ruminococcaceae_UCG.005	0.002472799	0.000851117	0.000711617	0.001298337	0.000518109	0.003968458	0.001299934	0.006321995	0.001650669	0.000998469	0.002089566	0.001122907	0.014121511	0.002264131	0.001565827	0.003865469	0.012269687	0.00116322	0.000250601	0.008025317	0.000417951	0.000494234	0.000648109	0.002777177	0.00122763	0.002212434	0.000761171	0.010349288	0.002546771	0.002753705	0.000785519	0.00093828	0.001623352	0.001404378	0.001307843
ASV13447.Ruminococcaceae_UCG.010	0.004698318	0.000788072	0.00083022	0.001456243	0.000222047	0	0.000866623	0.000542993	0.003973834	0.005857685	0.031485967	0.00217776	0.000656814	0.004874541	0.033680947	0.009648455	0.001706019	0.001092292	0.002539428	0.019197818	0.003931352	0.004379462	0.001011682	0.003895261	0.003613729	0.002333112	0.003983999	0.002979781	0.003748078	0.004632704	0.022099255	0.004198407	0.003883908	0.000743494	0.003519637
ASV1847.Bacteroides	0.02412353	0.007754626	0.014173042	0.016843287	0.010090792	0.055077394	0.012339056	0.010859869	0.007091765	0.010051255	0.005413877	0.011229073	0.003940887	0.012679133	0.006216335	0.004352458	0.00309813	0.002085284	0.007735231	0.005997133	0.00984797	0.007001647	0.008741563	0.006546202	0.009164001	0.006737867	0.005311999	0.004491475	0.014031266	0.00738641	0.008972367	0.00322832	0.009967685	0.003166736	0.004865946
ASV4038.Prevotellaceae_UCG.004	2.74755E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031392743	0	0.015281323	1.3061E-05	1.37287E-05	1.58075E-05	0	3.45811E-05	0	0	0	0	0	0	0	1.51715E-05	0	0
ASV15828.Kiritimatiellae_WCHB1.41	0	0.002364215	0.000652316	0.002386132	0.00106089	0	0.011864477	0	0.00641927	0.018105571	0.050292064	0.010276303	0.006896552	0.016594747	0.022328698	0	0	0	0.047647688	0	0.006517423	0.007948929	0.000537456	0.008169227	0.017255987	0.00358012	0.000712585	0	0.004757176	0.014951	0	0.003101096	0.013275075	0.018105466	0.001153979
ASV13448.Ruminococcaceae_UCG.010	0.000631938	0.001292438	0	0.003807285	0.000962203	8.58974E-05	0.00026824	0.000271497	0.003607018	0.000599081	0.003609251	0.00231387	0.000328407	0.001997763	0.003303896	0.00800487	0.00125563	0.003390359	1.67068E-05	0.002185544	0.001005695	0.001331686	0.003525079	0.006221597	0.001625313	0.004585772	0.003919219	0.000566885	0.004693106	0.002283956	0.005201878	0.001606209	0.001759896	0.001817431	0.004038928
ASV5172.Gastranaerophilales	0.00956149	0.009362292	0.00083022	0.002193136	0.001406296	0.005583329	0.003177616	0.005119652	0.003362475	0.003627771	0.007218502	0.00163332	0.003940887	0.002956689	0.014358637	0.001004413	0	0.00035464	0.002973804	0	0.007170472	0.008086216	0.007334693	0.008890572	0.023809112	0.009453127	0.00474517	0.008445136	0.003267555	0.005831376	0.007977377	0.007522145	0.008890507	0.006994355	0.006058391
ASV13221.Ruminococcaceae_UCG.005	0.007803055	0.003057718	0.008658009	0.006632044	0.004712326	0.004878971	0.005798118	0.004537874	0.004096106	0.002529455	0.004226623	0.004525657	0.007553366	0.003675883	0.002677565	0.005630802	0.003412038	0.003177575	0.001353248	0.00148617	0.002455462	0.002224053	0.005153254	0.005806824	0.002939397	0.005671876	0.003595316	0.003125136	0.003507817	0.004146756	0.002792955	0.00380083	0.002685358	0.002629767	0.002942647
ASV2842.Bacteroidia	0	0	0	0	0.005353795	0	0	0.002676182	0.017179189	0	0	3.40275E-05	0	0.000532737	0	0.009313651	0	0	0.009790163	0	0.002847291	0.001633718	0.001201372	0	0.018397164	0.009694483	0.004469853	0	3.20349E-05	0.013638941	0.000331663	0.021023839	0.000182058	0.02745422	0.012674539
ASV17400.Mailhella	0.005055501	0.005737162	0.007531282	0.004772265	0.003774795	0.007988455	0.002909376	0.005119652	0.004952008	0.006257072	0.00313435	0.005104124	0.002955665	0.003409515	0.002380058	0.004595952	0	0.004028712	0.00340818	0.008602301	0.001384463	0.001784734	0.002039171	0.002723076	0.005239042	0.003499668	0.002040585	0.003285027	0.003844182	0.002996679	0.000942622	0.001304051	0.004126652	0.001555831	0.003269608
ASV17459.Escherichia.Shigella	0	3.15229E-05	0	0.000789529	0.000468765	0.000223333	0.000680918	0.000232711	0	0.000499235	4.74901E-05	0.00027222	0.000985222	0.000106547	1.56583E-05	0.000152184	0.001064556	0.001305076	5.01203E-05	0.016173025	7.83658E-05	0.000137287	0.000110653	0.000667244	0	4.02261E-05	0.000534439	1.45355E-05	0.000176192	0.000566939	0.000157104	0.00249678	1.51715E-05	1.37684E-05	0
ASV9137.Lachnospiraceae	0.000631938	0.002017464	0.005515033	0.00100007	0.001677687	0.000274872	0.002269726	0.000542993	0.000183408	0	0	0.000442357	0.000656814	0.0010122	0.00045409	0.000456552	0.001187389	0.001716458	0.000200481	0.000332203	0.000248158	0.000453048	0.000727146	0.000522975	0.000708913	0.000563165	0.000874536	0.002093115	0.000128139	0.000453551	6.98239E-05	0.000381673	0.000546175	0.000729726	0.001557872
ASV19392.Cerasicoccus	0.000192329	0.005358888	5.93014E-05	3.50902E-05	9.86875E-05	0.003813843	0	0.00228833	0.00030568	0.000931904	0.001187254	0.000986797	0.001970443	0.000293005	0.001096079	0.001460965	0.00560939	0.004156382	0.000300722	0.032713222	0.000901207	0.000370675	0.000379381	0.000865614	0.001936544	0.000100565	0.005619706	1.45355E-05	0.001521656	0.001263465	0.001501213	0.005470651	0.001775067	0.002684841	0.001077047
ASV19333.Akkermansia	0.004615892	0.003372947	0.001423234	0.002403677	0.010806277	0.004140253	0.001630076	0.026916961	0.004340649	0.001431139	0.002896899	0.000918742	0.000656814	0.000319642	0.001503194	0.001582712	0	1.41856E-05	0.000116947	0	0.000848963	0.001084569	0.002434359	0.002127967	0.004945102	0.004545546	0.003822048	0.004418797	0.016834316	0.00084231	0.004782935	0.002242331	0.004733512	0.001156547	0.001711736
ASV1935.Bacteroidales	0	0.00362513	0.018917156	0	0.001184249	0.006957687	0	0.000853275	0.002200893	0.001431139	0.000284941	0.00027222	0	0.000745831	0.000532381	0.008674479	0.006523816	0.023207649	0.000434376	0.018760709	0.000966512	0.000892367	0.001912711	0.00045084	0.001452408	0.004062833	0.001408975	0.001279126	0.002226422	0.000777517	0.002967514	0.005088978	0.002730873	0.000220295	0.007635496
ASV1936.Bacteroidales	0.003297066	0.000126091	0	0	0.000592125	1.71795E-05	4.12677E-05	0	0	0.000133129	0	0	0	0	1.56583E-05	0	0.004626723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV13222.Ruminococcaceae_UCG.005	0.001785911	0.001670712	0.00083022	0.004649449	0.003750123	0.001546153	0.0051172	0.001590195	0.002017485	0.001031751	0.000997293	0.002347897	0.001642036	0.002264131	0.00081423	0.002130574	0.00058687	0.000368826	0.000584737	5.24531E-05	0.001554255	0.001455244	0.002797932	0.000811513	0.001504279	0.002111869	0.003627707	0.002441967	0.002466684	0.003968575	0.000715695	0.00494585	0.002275727	0.001844968	0.000788553
ASV13449.Ruminococcaceae_UCG.010	0.005385207	0.001828326	0.002668564	0.001877325	0.001751702	0.002319229	0.001939584	0.004343948	0.001834077	0.002196632	0.002469488	0.002892337	0.003612479	0.002930052	0.002254791	0.004809009	0.000818889	0.001376004	0.003157578	0	0.002520767	0.003706755	0.003999304	0.003678857	0.003544566	0.003318651	0.002801756	0.001497158	0.00485328	0.002591723	0.002094716	0.003387351	0.001062006	0.004667493	0.006193022
ASV11430.Ruminococcaceae	0.0012364	0.000504366	0.004862717	0.001157976	0.001924405	0.007799481	0.000866623	0.001939262	0.000978174	0.00086534	0.001044783	0.001293045	0.002955665	0.00109211	0.000798572	0.002008827	0.022205541	0.010015037	0.001219594	0.006259398	0.00189384	0.001317957	0.002134016	0.00169516	0.001262211	0.001367686	0.001376585	0.001787869	0.00112122	0.001895197	0.000436399	0.000461189	0.00069789	0.002643536	0.001346309
ASV4363.Rikenellaceae_RC9	0.006951313	0.006210005	0.014232343	0.007526844	0.009029902	3.43589E-05	0.005612413	0.003451887	0.005196552	0.003028689	0.002564468	0.004219409	0.008538588	0.004688083	0.003742327	0.00998326	0	0.006142367	0.005947608	0.008287583	0.010004702	0.009967051	0.004773873	0.008908606	0.00487594	0.007260806	0.002672195	0.004258907	0.006727319	0.003757998	0.004905127	0.00666338	0.006387207	0.002010189	0.004154325
ASV5173.Gastranaerophilales	0.001978239	0.002206601	0.000177904	0.001140431	0.000592125	0.000807435	0.001960218	0.003141605	0.005441096	0.005258603	0.002374507	0.001939567	0	0.002157584	0.00353877	0.000517425	0	0.000411383	0.001821037	0	0.005903558	0.005422845	0.00447353	0.008602034	0.002766491	0.003720912	0.006704779	0.018096719	0.003764095	0.003077671	0.00549863	0.00380083	0.007752644	0.001239157	0.001788668
ASV8706.Agathobacter	0.001346302	0.000598935	0.001363933	0.003456383	0.001899734	0.003161023	0.004002971	0.001861692	0.000855903	0.000465952	0.000379921	0.000442357	0.001313629	0.002051036	0.000407115	0.001460965	0.006264501	0.002113655	0.000150361	0.001800888	0.000561622	0.000713893	0.001359447	0.000829546	0.000276649	0.001045878	0.000971707	0.005741529	0.000688749	0.001652223	0.000645871	0.002242331	0.000439974	0.000454358	0.00038466
