region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV1849.Bacteroides	0.000250387	2.34984E-05	2.48213E-05	0.009968079	4.35474E-05	0	0	1.9263E-05	0	0	0	0	0	0	5.13545E-05	0	0	0	0	0	0	1.52714E-05	0	0
ASV9138.Lachnospiraceae	0	0	0	0.002702544	0	0	0	0	1.20728E-05	0	0	3.45262E-05	0	0	0	0	0	0	0	0	0	0	0	0
ASV17978.Treponema_2	0.0001821	0.000117492	0.000843924	0	0	0.000115461	2.4108E-05	1.9263E-05	3.62183E-05	0.000377861	0	5.17893E-05	8.45785E-05	0.000228733	0.000154063	3.57859E-05	0.000103072	0.000256832	0	3.5524E-05	1.58685E-05	3.05427E-05	5.96792E-05	0.000253053
ASV2843.Bacteroidia	0.000136575	0.003383777	0	0	0.002591068	0.000127008	0.000518322	0.000134841	0.00065193	0.000298312	0.000178895	0.000172631	0.000112771	6.23817E-05	2.56772E-05	0.000178929	0.000103072	0.000342442	0	0.000106572	0.000142816	0	0.000283476	0.000159823
ASV2555.Bacteroidales_p.251.o5	0.004211053	0.006932042	2.48213E-05	0	0.006336142	0.002055214	0.000192864	0.001194306	0.001605679	0.003301315	0.003526796	0.002192415	0.002170849	0.003368614	0.002465015	0.001055683	0.00742115	6.84885E-05	0.005427821	0.001918295	0.007458187	0.000534498	0.002014174	0.009256423
ASV4116.Alistipes	9.10498E-05	0	0	0.003877563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV18494.Mollicutes	0.0001821	0.000211486	0	0	0.000370153	0.000600399	0.000433944	0.001502514	0.000313892	0.001670545	0.000792251	0.00027621	0.000253736	6.23817E-05	5.13545E-05	0.000894646	0.000700886	0.00032532	0.000144101	0.000142096	0.000301501	0.000366513	0.000179038	0.00027969
ASV5890.Bacillales	2.27625E-05	0	0	0.002663377	0	0	0	1.9263E-05	0	0	0	1.72631E-05	0	0	0	0	2.06143E-05	0	0	3.5524E-05	0	0	0	0
ASV11282.Romboutsia	2.27625E-05	0	0	0.002350038	0	0	0	0	0	0	0	1.72631E-05	0.000169157	0	0	0	0	8.56106E-05	0	1.7762E-05	9.52109E-05	3.05427E-05	8.95188E-05	0
ASV17980.Treponema_2	0	0	0	0.004954664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV2844.Bacteroidia	0.000136575	0	0	0.005405088	0	0	0	0	0	0	0	0	2.81928E-05	0	0	0	0	0	4.80338E-05	0	0	1.52714E-05	0	0
ASV2675.Bacteroidales_RF16.	0	0	0	0.029003388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV13451.Ruminococcaceae_UCG.010	4.55249E-05	0	0	0.002761295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV4118.Alistipes	0	0	0	0.0071872	0	0	0	0	0	0	0	0	0	4.15878E-05	0	0	0	0	0	0	0	0	1.49198E-05	0
ASV9139.Lachnospiraceae	6.82874E-05	0	0	0.003505474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58685E-05	0	0	0
ASV11290.Lysinibacillus	0	0	0	0.001214186	0	0	0.003447445	0	0.002124808	0	0	0	0	0	5.13545E-05	0	8.24572E-05	0	0	3.5524E-05	0	0	0	0
ASV11296.Planococcaceae	0	0.000117492	0	9.79183E-05	0	0	0.00996866	7.7052E-05	0.008728616	3.97749E-05	0	0	0	0	0	7.15717E-05	2.06143E-05	0	0	0	0	0	0	0
ASV17986.Treponema_2	0	0	0	0.009850577	0	0	0	0	0	0	0	1.72631E-05	5.63857E-05	0	0	0	0	0	0	0	0	0	0	0
ASV11384.Flavonifractor	0.000136575	0	0	0.003035466	0	0	0	0	0	0	2.55565E-05	0	2.81928E-05	0	0	0	0	0	0	0	0	0	0	0
ASV5778.Fibrobacter	0.003596467	0.006297584	0.005286934	0	0.005639384	0.039626367	9.6432E-05	0.001040202	0.00056742	0.003321202	0.007488052	0.012049649	0.012968706	0.010500925	0.006727436	0.006405668	0.000556586	0.003424423	0.032278724	0.019058615	0.021168555	0.026190403	0.019022753	0.024452939
ASV2449.Bacteroidales_BS11	0.001547847	0.001409907	0.000521247	0	0.002024953	0.000669676	0.003001446	0.0019263	0.00086924	0.000596623	0.00043446	0.002762097	0.003298562	0.001746689	0.001283862	0.001825079	0.002020202	0.000616396	0.001697195	0.002095915	0.000872767	0.002932103	0.002566207	0.009016688
ASV17988.Treponema_2	0.004438678	0.001644891	0.003177125	0	0.003657979	0.001212345	0.002097396	0.001810722	0.001352151	0.009366983	0.002325641	0.002123362	0.000817592	0.00085255	0.000795994	0.000858861	0.001113173	0.002534073	0.002465736	0.000923623	0.000460186	0.001206438	0.001641179	0.002610444
ASV5672.Methanocorpusculum	4.55249E-05	0	0	0.002565458	0	0	0	0	0	0	0	1.72631E-05	0	0	0	0	0	0	0	0	0	0	0	0
ASV2847.Bacteroidia	0.000682874	0.009610866	0.000719817	0	0.000500795	0.01443268	0.011909354	0.041010922	0.058178701	0.017739594	0.000204452	0.014656378	0.01499859	0.005344035	0.003492104	0.00250501	0.003050917	0	0.004387089	0.001865009	0.010441461	0.008277084	0.002506527	0.000479469
ASV9141.Lachnospiraceae	0.002708732	0.001856377	0.002233916	0	0.002634616	0.001350899	0.0012054	0.00211893	0.001014113	0.003082553	0.001507833	0.004453882	0.001127714	0.000436672	0.000436513	0.000501002	0.000659658	0.001523868	0.001441014	0.001705151	0.002380272	0.000946825	0.002058933	0.001744736
ASV5779.Fibrobacter	0.002390057	0.007002538	0.003822478	0	0.001785442	0.001397083	0.00108486	0.004623119	0.001666043	0.004772985	0.006619132	0.005247985	0.004116154	0.005198478	0.003363718	0.000948325	0.000494743	0.007379632	0.001216857	0.004316163	0.004109937	0.000519227	0.007385304	0.008364077
ASV9142.Lachnospiraceae	0	0	2.48213E-05	0.005503006	0	1.15461E-05	0	0	0	0	2.55565E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV13153.Ruminococcaceae_UCG.002	9.10498E-05	4.69969E-05	2.48213E-05	0.004386738	8.70947E-05	3.46384E-05	0	0	0	0	0	0	0	0	0	3.57859E-05	0	1.71221E-05	0	0	1.58685E-05	1.52714E-05	0	0
