region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV4362.Rikenellaceae_RC9	0	0.041555898	0.000340566	0.005326036	0.018946994	0.013676873	0.006193071	0.057350091	0.000455512	0.046430206	0.044653577	0.031082549	0.000782764	0.001716805	0.006578072	0.003867336	0	0.007913055	0.017706508	0.01042347	0.040475493	0.042773215	0.078546481	0.01667737	0	0.01626707	0.020480511	0.006048893	0.007565849	0.031824761	0.012900514	0	0.000136746	0.015522907	0.0154561	0.017295451	0.013912689	0.014235483	0.012447831	0.023900466	0.012210617	0.007842176	0.011271255	0.011908041	0.007644344	0.015272737	0.004230459
ASV11429.Ruminococcaceae	0	0.003031575	0	0.001588983	0.001041323	0.000794141	0.001410115	0.000146826	0.000227756	0	0.001665311	0.000760319	0	0.007413477	0.000510272	0.000293722	0.00070798	0.000197006	0.001752313	0.002258872	0.000711565	0.001408788	0.00195685	0.000762623	4.70891E-05	0.000772415	0.001310484	0.000324575	0.000430442	0.00024393	0.004623493	4.78583E-05	0.001207922	0.000893858	0.001695897	0.002996429	0.003263974	0.002662035	0.003082874	0.001432343	0.005190051	0.002396221	0.007773279	0.005168252	0.002656086	0.001512152	0.001244253
ASV11295.Planococcaceae	5.12715E-05	0.000396437	0.00031624	0	0.000152389	2.94126E-05	0.003430009	0.010160334	0.000607349	0.006224256	0.000542194	0.000362056	0.001192784	0.000877912	0.001308959	0.000930119	2.21244E-05	0.001247702	0.000590896	0.000898106	0	5.99484E-05	0	0.000160552	1.56964E-05	0	0	1.47534E-05	9.93328E-05	0.000113834	2.15547E-05	0	0.000433029	0.000113306	4.13633E-05	0.00041919	0.00128519	0.001281194	0.00015996	0.003482559	0.000215355	1.36149E-05	0.000226721	0.003467103	0.000437282	0.002749368	0.000545101
ASV13444.Ruminococcaceae_UCG.010	0.000102543	0.000186558	0.001727158	0.003766478	0.000380972	0.000382364	0.000285834	0.000176191	0	9.15332E-05	0.001510399	9.05141E-05	0.001677352	0.001131531	0.000743222	0	0.001216841	0.000623851	0.00348425	0.00914435	0.005273953	0.002787603	0.009982413	0.005157743	0.00160103	0.001575728	0.002385753	0.00534073	0.004354088	0.003024735	0.00902066	0.005200606	0.00740707	0.00302149	0.004632694	0.005278683	0.006140351	0.004612297	0.007052801	0.001376173	0.003854851	0.003853014	0.003611336	0.004779418	0.00401652	0.005952381	0.00911267
ASV4115.Alistipes	0	0.000466396	0.003405663	0.003442797	0.001777868	0.001294156	0.003601509	0.002496036	0.000278368	0.002425629	0.001045661	0.000398262	0.003951096	0.002321589	0.001930159	0.001052503	0.001526582	0.000870108	0.007885407	0.010178533	0.012138462	0.0105809	0.017685963	0.01063659	0.002275974	0.009979608	0.001545699	0.005045662	0.003344205	0	0	0	0.003874467	0.009202956	0.003309067	0.005961807	0.006507548	0.005267129	0.001352393	0.006206819	0.003337999	0.001116421	0.010283401	0.008100708	0.003595433	0	0.004266009
ASV13445.Ruminococcaceae_UCG.010	0	2.33198E-05	0.000656806	0.001736111	0.000101592	0	0.001848394	0.000205556	2.53062E-05	6.86499E-05	0.000193641	0	0.000596392	0.001073003	0.000510272	0	0.002079692	3.28343E-05	0.000937284	0.002177226	0.002050982	0.000239794	0.000198162	0.001505178	0.003829914	0	0.001461694	4.42602E-05	4.96664E-05	0.000699267	0.007188507	3.19056E-05	0.002370262	0.008900807	0.00632859	0.002406459	0.00369237	0.003046393	0.000203586	0.001081278	0.000463013	0.002287301	0.005765182	0.002705636	0.000858369	0.001292203	0.005059961
ASV17976.Treponema_2	0.025276866	0.022760132	0.017052642	0.001500706	0.031976227	0.058178182	0.004592401	0.015710342	0.008047373	0.01389016	0.043026994	0.019207096	0.007268525	0.001463186	0.008164352	0.010231306	0.052213545	0.006484765	0.008476303	0.001823427	0.004980955	0	0	0.025186642	0.007408686	0.006241117	0.001276882	0	0	1.6262E-05	0	1.59528E-05	0.001116758	0.011834171	0.047002537	0.004440304	0.003590371	0	0.003897218	0	0.007838915	0	0.026866397	0.0057191	0.005182606	0	0.002571456
ASV4037.Prevotellaceae_UCG.004	0.000743437	0.012732615	0.019120366	0.003531073	0.036776471	0.041765934	0.032775639	0.009573031	0.020320883	0.009267735	0.009333488	0.009467777	0.018450872	0	0.011148334	0.013217476	0.006239076	0.003693853	0.004115897	0.012246897	0.004980955	0.000989149	0.010304426	0.02127318	0.013954072	0.002827041	0.005880376	0.009427421	0.010529278	0.008114745	0.015066766	1.59528E-05	0.00462657	0.013634475	0.005142841	0.007498836	0.00626275	0.015089612	0.016126921	0.020319609	0.009346398	0.004737981	0.015336032	0.00858675	0.004178476	0.061049709	0.018462341
ASV1934.Bacteroidales	0.056552502	0.008022014	0.010241316	0.017655367	0.008660757	0.005058972	0.006231183	0.004727785	0.011590242	0.008718535	0.004531196	0.016690804	0.010660504	0.001638769	0.010338554	0.010059968	0.008717007	0.017779748	0.024022984	0.016410843	0.029550877	0.038936515	0.020460231	0.008709962	0.015853333	0.013594513	0.013776882	0.024431625	0.020181117	0.010619095	0.005916777	1.59528E-05	0.002962828	0.007541136	0.008769027	0.007141748	0.006548348	0.012100161	0.004522518	0.006796607	0.015785507	0.018924696	0.020048583	0.015812582	0.013928253	1.37468E-05	0.023581552
ASV13446.Ruminococcaceae_UCG.010	0	0	7.29785E-05	0.003442797	0	0	0.00030489	0.000176191	0	2.28833E-05	0	0.000144823	7.4549E-05	0.000819384	0.000510272	0	0	0	0.000978035	0.002177226	0.000711565	0.00113902	0.002080701	0.000240828	0	0.001158623	0.000436828	0.000840944	0.000761552	0.000959459	0.012027547	0.002935311	0.006768922	0.001951379	0.003033311	0.001055737	0.000652795	0.001651316	0.001265142	0.001530641	0.002939593	0.003267573	6.47773E-05	0.002187191	0.003676411	0.001732102	3.55501E-05
