"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"LM0157",167043,102518,101417,101462,92870,80941
"LM0158",79319,46185,45464,45688,40085,33036
"LM0159",113859,72289,71943,71700,67804,62903
"LM0160",89347,60913,60007,60325,54835,46624
"LM0161",152748,99826,98407,98832,89576,78281
"LM0162",148555,94419,93466,93459,78401,60928
"LM0163",165535,121968,120723,120793,103080,80752
"LM0164",98298,72567,71429,71870,61019,47413
"LM0179",145098,93127,92177,92221,77946,63261
"LM0203",133985,101219,100083,100455,85927,69109
"LM0204",109101,82662,81471,82001,70883,55452
"LM0205",130297,83359,82558,82243,69995,57835
"LM0210",126605,78459,77591,77697,63169,49719
"LM0211",116116,87831,86787,87239,75096,61747
"LM0212",140966,93633,92808,92967,80465,64410
"LM0213",101547,74861,73860,74264,63445,49020
"LM0214",146717,97529,96828,96816,85584,70247
"LM0215",95559,68266,67208,67588,59253,50283
"LM0217",131804,97719,96964,97002,83997,68767
"LM0227",104623,69983,68547,69318,60739,54580
"LM0228",36714,26849,26151,26495,23015,20544
"LM0229",78910,55867,54807,55243,47435,39129
"LM0230",115311,80739,79913,80081,72462,64051
"LM0237",127144,93895,93098,93090,81928,68797
"LM0243",128623,94237,93291,93421,80771,64136
"LM0244",140973,97684,96854,96877,90107,81458
"LM0245",145273,89428,88393,88482,80151,70020
"LM0259",133254,98731,97844,98170,85778,71212
"LM0260",119104,73987,72735,73122,63387,54833
"LM0273",161881,105761,104188,104615,87180,69766
"LM0274",144932,103584,102227,102454,88677,72641
"LM0275",110808,73998,73177,73340,62949,50138
"LM0276",128623,93457,91947,92639,79274,63363
"LM0277",127417,89939,88626,89074,76522,62306
"LM0282",119414,81462,80749,80492,68051,55636
"LM0284",101896,76563,75796,76067,65823,53522
"LM0285",121847,88440,87257,87619,74527,59205
"LM0295",115526,80751,79509,79982,68361,57927
"LM0296",62922,47042,46366,46731,40198,31865
"LM0313",184857,134582,133040,133452,115396,92870
"LM0314",141066,102695,101574,101781,87376,73449
"LM0316",150741,103765,101632,102355,82876,61750
"LM0317",149887,90934,90235,89653,76460,61723
"LM0320",146815,95198,93949,94260,78627,62432
"LM0321",117984,84645,83675,83790,73075,61735
"LM0334",132887,83109,82040,81869,68100,57287
"LM0335",146504,93942,92903,92974,76744,62881
"LM0336",153621,95630,94562,94608,80161,65913
"LM0337",135059,86947,86209,86039,72817,61745
"LM0338",144792,100714,99954,99832,86635,72744
"LM0339",171094,114999,114078,114024,100899,84388
"LM0341",140346,102111,101023,101246,87088,72630
"LM0342",99667,72589,71748,71918,62635,51994
"PLA101",85960,67314,64059,65873,48085,35470
"PLA102",112979,88165,84095,86364,64050,48091
"PLA103",91255,69732,66723,68029,51242,38945
"PLA104",128698,94948,90874,92802,71131,55888
"PLA105",106619,86550,82367,84620,63581,48510
"PLA109",144703,107608,102497,106131,77169,58404
"PLA201",127389,103687,99055,101684,79208,62456
"PLA202",107062,89041,86143,87621,71520,56300
"PLA203",131634,108312,103636,106254,82982,63018
"PLA204",139568,113982,108983,111999,86083,65482
"PLA205",126088,101969,98905,100407,82351,67025
"PLA209",169177,127269,122261,125138,95310,75083
"WAR103",68978,55588,53497,54405,43592,31995
"WAR104",92334,72076,69393,70665,57324,43865
"WAR106",68715,54460,52220,53322,41797,29705
"WAR107",109234,83227,79600,81522,63256,45807
"WAR109",147512,107097,104004,105230,87487,71086
"WAR201",123715,101452,99156,100255,88460,72257
"WAR202",180556,147245,143010,145128,123518,95654
"WAR203",132355,109217,107006,108004,96472,80637
"WAR204",115169,95518,94797,95035,89534,81958
"WAR205",147565,115994,113945,114708,101716,84321
"WAR206",143349,111399,108506,109858,94562,75789
