region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV13444.Ruminococcaceae_UCG.010	0.000784006	0.000839756	0.001755315	0.000501077	0.000654866	0.002075571	0.002084881	0.000454015	0.002769931	0.001124764	0.001091177	8.49997E-05	0.001393798	0.002662974	0.002432117	0.001410524	0	0.004698441	0.00851434	0.003153308	0.00228093	0.00810153	0.004596224	0.006488711	0.003665502	0.007733725	0.005639124	0.00604146	0.006803309	0.005971616	0.003593316	0.006253296	0.011614402	0.002905068	0.004718149	0.004218252	0.005192092
ASV4115.Alistipes	0.010584085	0.009477252	0.007522777	0.010622839	0.008929989	0.008077221	0.011454864	0.011004454	0.01153832	0.017359564	0.007359099	0.005482479	0.008412564	0.008379492	0.011860736	0.010158251	0.00661745	0.019245539	0.032317588	0.006736613	0.020124152	0.010465925	0.007190867	0.005552332	0.00560907	0.008754633	0.005427657	0.012152097	0.003924617	0.008429072	0.005963141	0.008332705	0.003484321	0.004661239	0.00413612	0.003796427	0.005145316
ASV13445.Ruminococcaceae_UCG.010	0.004468836	0.001979426	0.003789251	5.01077E-05	0.000297666	0.004476231	0.005511754	0.000194578	0.007392596	0.001888754	5.07524E-05	2.12499E-05	0.004181393	0.008130947	0.004631018	0.000519667	0	0.004788796	0.002214256	0.00708061	0.008806121	0.001599444	0.008722942	0.008598861	0.00576251	0.007356129	0.009642902	0.006836996	0.003339283	0.00726178	0.014185882	0.031733595	0.014672071	0.010208771	0.009213394	0.008436505	0.009994387
ASV17976.Treponema_2	0	0.000599826	0.001783177	0.002104525	0.001508176	0.000450124	0	0.000994509	0.000550317	0	0	4.24998E-05	0.000398228	0.000887658	3.33167E-05	0.000544413	0.001109284	0.001400497	0	0.000745327	0	0	0.000469507	5.27537E-05	0.000323928	0	0.00012688	0.000126825	0.000115148	0	0.000264539	0.000316432	0.000308137	0.001542805	8.66852E-05	0.00033746	0.000171511
ASV13446.Ruminococcaceae_UCG.010	0.000156801	0.000659809	0.0028698	0.00220474	0.001051754	0.004126135	0.000910638	0.000172958	0.003522031	0.001994864	0.002156977	0.000509998	0.003633829	0.003728164	0.002565384	0.002177652	0.000153005	0.004562909	0.002266976	0.004070634	0.002540782	0.006189152	0.0047692	0.004866533	0.002898304	0.004698972	0.008190828	0.003608735	0.01679237	0	0.013601693	0.002395841	0.010737396	0.004103204	0.01299039	0.005631367	0.01485905
ASV13220.Ruminococcaceae_UCG.005	0.013484908	0.0041388	0.005516703	0.008367991	0.007521035	0.003350922	0.01155072	0.00257275	0.002751587	0.010207763	0.008602533	0.004887482	0.006222311	0.002520949	0.003798101	0.014934237	0.000229507	0.004833973	0.00142345	0.004385965	0.006323084	0.007023644	0.004991598	0.006607407	0.004194016	0.002573247	0.004172952	0.007724768	0.007858829	0.003059532	0.007616507	0.005499887	0.003626538	0.003857012	0.00361601	0.002805138	0.017681177
ASV13447.Ruminococcaceae_UCG.010	0.003501895	0.002159374	0.005628152	0.000952047	0.000793777	0.002875791	0.004169762	0.000172958	0.004182412	0.003586511	0.000659781	0.000254999	0.002190253	0.003266581	0.003398301	0.001670358	3.82512E-05	0.00505986	0.01281105	0.002952643	0.006756172	0.005146036	0.003162993	0.005657839	0.00398943	0.015271659	0.005272581	0.001314363	0.002753949	0.012434724	0.007770821	0.012913433	0.00770343	0.003134848	0.003578859	0.003986248	0.005254459
ASV1847.Bacteroides	0.003214426	0.01127673	0.005126633	0.004710127	0.005953326	0.003275901	0.003211196	0.005448177	0.004494258	0.003692621	0.00400944	0.005099981	0.00328538	0.002733987	0.002365484	0.004837852	0.001415293	0.004156314	0.003031421	0.005303291	0.008142053	0.003824757	0.00644954	0.002373919	0.003818941	0.002992798	0.005399461	0.004069915	0.001381772	0.003735332	0.005158503	0.005861523	0.001919932	0.005137211	0.002451952	0.003332419	0.003492578
ASV15828.Kiritimatiellae_WCHB1.41	0	0.000659809	0	0.00045097	5.95333E-05	0.000925254	0	0.000194578	0.001100635	0	0	2.12499E-05	0.000796456	0.001668797	0	0.000878485	0	0.000180709	0	0.00458663	0	0.001182197	0.001507364	0.007517409	3.40977E-05	0	0.014859092	0.000634123	2.87869E-05	0	0	0	0.000118514	4.92384E-05	0.001671785	0.003648788	3.11837E-05
ASV13448.Ruminococcaceae_UCG.010	7.84006E-05	0.000869748	0.000640829	0.000300646	0.000555644	0.000650179	0.000862709	0.000108099	0.001192354	6.36659E-05	0.00020301	6.37498E-05	0.001045348	0.000745633	0.000966184	0.000828992	0	0.00135532	0.001792493	0.001261323	0.001039411	0.002155772	0.001902738	0.001780439	0.00148325	0.003594154	0.001184216	0.001983075	0.001314603	0.002690914	0.000330673	6.02727E-05	0.004479841	0.001395089	0.002637706	0.000232004	0.001107023
