region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV11294.Planococcaceae	0	0	0.000147951	8.68056E-05	0.000118378	0	0.000591879	0.00023197	0.000635718	0	9.83632E-05	5.92499E-05	2.75626E-05	0.000259557	0.000434015	0	8.12374E-05	4.28679E-05	0	0.000256476	0	9.7454E-05	0.000193792	0.000151103	0	0	7.1125E-05	5.65654E-05	0	8.8241E-05	0	0	2.20911E-05	0.018244911	0.020924126	0.00017667	2.79271E-05	0	7.14582E-05	6.77721E-05	0.001235458	0	0.000462147	0	9.41472E-05
ASV4362.Rikenellaceae_RC9	0.001913394	0.000170367	0.000473443	0.000549769	0.002446483	0.000758814	0.000295939	0.001265289	0.002073653	0.000129624	0.000727888	0.001303498	0.00052369	0.000111239	0.016781922	0.01034995	0.009488529	0.000257207	0.006990715	0.002692998	0.006203223	0.006773054	0.008462259	0.000695074	0.002045088	0.00242875	8.89063E-05	0.00077306	0.000427449	0.002100136	0.001793247	0.069358033	0.00019882	0.007035619	0.000307297	0.01028469	0.001731481	0.001833055	0.000771748	0.000847151	6.86365E-05	0.000432852	0.005459114	0.008566178	0.003514828
ASV11429.Ruminococcaceae	0.002945619	0.006360384	0.005829265	0.004050926	0.002801618	0.003210367	0.004037457	0.00512442	0.001710385	0.000544422	0.005803431	0.010210732	0.003279954	0.003707961	0.00332745	0.002459635	0.003411971	0.005101275	0.000955762	0.004659314	0.001011395	0.00090145	0.000839766	0.001390148	0.00168419	0.001821563	0.001724782	0.001338713	0.001380988	0.004782662	0.003842672	0.00146038	0.004893189	0.001943739	0.002332663	0.001451214	0.001508064	0.000930207	0.006574152	0.006054308	0.001372731	0.001474903	0.000750989	0.000419627	0.004362153
ASV11295.Planococcaceae	0	0.000198762	0.000236721	0.000405093	0.000355135	5.83703E-05	0.000655294	0.000400675	0.001044394	0.007570062	0.000826251	0.00013825	0.000110251	0.000741592	0.001157374	0	0.000162475	6.43018E-05	0.000300382	0.00042746	0.000573124	9.7454E-05	0.00025839	9.06618E-05	0.000120299	7.58984E-05	0	5.65654E-05	0	0.000123537	0	0.000120031	0	0.024159601	0.041736507	0.000126193	5.58542E-05	1.36795E-05	8.57498E-05	0.000124249	0.001921823	0	0.000288842	0	3.13824E-05
ASV13444.Ruminococcaceae_UCG.010	0.004204431	0.000511102	0.000562213	0.000520833	0.000197297	0.00102148	0.001923605	0.000695909	0.0012563	0.00101107	0.001081996	0.000552999	0.001240319	0.000333716	2.89343E-05	0.00224046	0.000568662	0.00049298	0.000737302	0.000128238	0.006034657	0.008381045	0.006879623	0.00743427	0.006255564	0.007779591	0.003342876	0.003412776	0.003057903	0.001411856	0.001810326	0.005161342	0.016093401	0.005700044	0.002430439	0.014524759	0.015695036	0.018987169	0.009918395	0.008121357	0.014688219	0.00578739	0.014196586	0.011691675	0.007814216
ASV4115.Alistipes	0.003826788	0.000709864	0.003550821	0.003009259	0.001953241	0.001371702	0.003551271	0.002404049	0.004979793	0.001270319	0.003482059	0.002843995	0.00261845	0.002113538	0.001475652	0.001607286	0.001121076	0.001736148	0.000573457	0.003505172	0.003775875	0.002485077	0.00445722	0.003747356	0.008011934	0.006071876	0.002489376	0.001508409	0.001808437	0.004306161	0.00187864	0.003941025	0.002374798	0.00374438	0.006243714	0.004454596	0.003700342	0.002763262	0.003429992	0.002756066	0.001715913	0.001074114	0.003003957	0.002532232	0.001945708
ASV13445.Ruminococcaceae_UCG.010	0.003121853	0.000340735	0.000532623	0.000318287	0.000966755	0.001371702	0.00099351	0.000189793	0.000665991	0.001529567	0.003127951	0.000572749	0.001846697	0.000593274	0.000289343	0.002678811	0.000844869	0.000450113	0	0.000341968	0.00330389	0.003191619	0.003100675	0.002719855	0.001395472	0.002087207	0.001262469	0.000527943	0.002071483	0.00107654	0.000563592	0.00250065	0.002385844	0.003136217	0.002346631	0.014348089	0.009439363	0.00904216	0.003344243	0.003569331	0.017776863	0.007053882	0.007495451	0.004471198	0.006872744
ASV17976.Treponema_2	0.000302115	0.001788858	0.001035656	0	0.002367564	0.000554518	0.001627666	0.000105441	0.002391512	0	0.003777148	0.001323248	0.006036217	0.021543253	0.001880733	0.002483988	0.000909859	0.015389562	0.035172037	0.0021373	0.000438271	0.000219272	0.002390104	0.001118163	0.011187835	0.006906759	0.002276001	0.000395957	0.004734817	0.000229427	0	0.000360094	0.002562573	0.001502522	0.000530786	0.006726061	0.000558542	0.000601899	0.001129039	0.00128767	0.001853186	0.004793433	0.002296294	0.007003429	0.004770124
ASV4037.Prevotellaceae_UCG.004	0	2.83946E-05	0	0	0	0	0	0	0	0	0	1.975E-05	0	0	0	0	0	6.43018E-05	0.020316767	0	0	0	0	0	0	0	1.77813E-05	0	0	0.000141186	0	0	0.000695871	0	0.000419041	0.00135026	2.79271E-05	0	0	0	0.000720684	0.000336663	0.000101095	1.44699E-05	0
ASV1934.Bacteroidales	0.001107754	0.000283946	0.00337328	0.002459491	0	0.00396918	0.001606528	0.002720371	0.00105953	5.18497E-05	0	1.975E-05	0.000799316	0.001483184	0.001475652	0.001436817	1.62475E-05	0.000278641	0.013544511	0.002522014	0.000168566	0.001291266	0.001388844	0.002115443	0.000962394	0.001783614	0.002453813	0.003129949	0.003057903	0.000670632	0.005226035	0.002120551	0.000916783	0.001657544	0.000893955	0.000795013	0.000418907	0.000410385	0.000242958	0.000327565	0.000343183	0.000977925	0.000794316	0.000564326	0.00065903
ASV13446.Ruminococcaceae_UCG.010	0.00234139	0.000908626	0.000650984	0.000752315	0.000907566	0.002276442	0.001543112	0.000442851	0.000968714	0.001088845	0.002203336	0.001244248	0.001212756	0.001705662	8.6803E-05	0.002897986	0.002355885	0.000514414	0	0.000512952	0.005292967	0.004287977	0.002713091	0.001722575	0.002261627	0.000758984	0.000906844	0.001489554	0.000789136	0.001129485	0.000426964	0.003420889	0.011343805	0.005199203	0.00599229	0.006713442	0.002010752	0.002626467	0.010318561	0.009307369	0.008648203	0.00941052	0.006455619	0.008551708	0.005774361
ASV13220.Ruminococcaceae_UCG.005	0.003222558	0.001135783	0.00837402	0.003993056	0.002150538	0.001313332	0.008455408	0.004027836	0.002361239	0.000674047	0.003108278	0.001994747	0.00146082	0.003337165	0.004398021	0.004383508	0.001592253	0.00250777	0.00065538	0.005257758	0.005461533	0.002777439	0.003132974	0.006527652	0.003344321	0.004591856	0.007005814	0.002130628	0.00631309	0.003617881	0.00351818	0.002440635	0.002938123	0.001574071	0.001578389	0.001627883	0.002457586	0.001846735	0.003015535	0.003659694	0.000480456	0.002565048	0.002368505	0.002474352	0.004958418
ASV13447.Ruminococcaceae_UCG.010	0.001107754	2.83946E-05	0.000118361	8.68056E-05	0.000414324	0.000350222	0.000676433	8.43526E-05	0.000438948	0.000103699	0.001101668	1.975E-05	0.000992255	7.41592E-05	2.89343E-05	0.000487056	0.000942354	0.000471546	0.004696887	0.000256476	0.003000472	0.001291266	0.004101935	0.001511031	0.00178043	0.00049334	0.001155782	0.000509088	0.000591852	0.002170729	0.000426964	0.00246064	0.002927077	0.000620088	0.000335233	0.001968603	0.004244921	0.00536237	0.001057581	0.000564768	0.000823638	0.002148228	0.01016724	0.003675353	0.002290915
ASV1847.Bacteroides	0.004053374	0.00229996	0.002959018	0.001822917	0.002229456	0.000175111	0.001902467	0.000400675	0.001210892	0.004459078	0.004642745	0.006754488	0.005319589	0.000222478	0.00066549	0.001753403	0.005540391	0.005551388	0.000245767	0.00128238	0.001348527	0.001169448	0	0	2.40599E-05	7.58984E-05	0.000746813	0.001451844	0.000427449	0.00127067	3.41571E-05	0.002180567	7.7319E-05	0.000298119	8.38082E-05	0.000630963	0.000530615	0.000642937	0.000643124	0.000722902	0.000583411	0	7.22105E-05	2.89398E-05	0.000439354
ASV4038.Prevotellaceae_UCG.004	0	0	0	0	0	0	0	0	0	0	0	0	0	3.70796E-05	0	4.87056E-05	0	2.14339E-05	0.051583834	4.2746E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19248E-05	0	0	0	0	0	1.12954E-05	0	0	0	0	0
ASV15828.Kiritimatiellae_WCHB1.41	0	8.51837E-05	0.001805001	0	0.000493243	0	0	0.002952341	0	0	0.002144319	5.92499E-05	0	0	0.000231475	0	0.000162475	6.43018E-05	0	0	0	0	0	0	0	0	0	0.000509088	0	0	0.000666063	0.001480385	0	0	0	0	0	0	0	0	0.007000927	0	0	0	0
ASV13448.Ruminococcaceae_UCG.010	0.000276939	2.83946E-05	0.000621394	8.68056E-05	0.000355135	0.001225776	0.001099203	6.32644E-05	0.00019677	0	0.000432798	0	0.000496127	0.000259557	5.78687E-05	4.87056E-05	0.000373692	2.14339E-05	0.001419989	0.000170984	0.003135325	0.002899257	0.005846064	0.002447869	0.006255564	0.004705704	0.001938157	0.000527943	0.001907079	0.000317668	0.003057059	0.003820993	0.017153776	0.000667788	0.000391105	0.023497047	0.020512462	0.023528768	0.001614955	0.001061763	0.001544322	0.00392773	0.001805263	0.001996846	0.000407971
ASV5172.Gastranaerophilales	0.001409869	0.001646885	0.002189673	0.002199074	0.001282431	0.001809479	0.00314964	0.000400675	0.001997972	2.59249E-05	0.002537771	1.975E-05	0.001708883	0.000444955	0.003269581	0.002289165	0.00245337	0.000771621	0	0.000384714	0.00212393	0.002996711	0.00645974	0.002719855	0.001227053	0.001707715	0.004267501	0.002281469	0.003781278	0.000405909	0.001110105	0.001660432	0.003899088	0.00107323	0.002653928	0.003116955	0.008252461	0.008426582	0.001329122	0.001897619	0.004427057	0.00713404	0.002960631	0.008841106	0.006213714
ASV13221.Ruminococcaceae_UCG.005	0.001107754	0.002016015	0.001923361	0.003530093	0.000907566	0.001546813	0.001585389	0.003268663	0.001680113	0.001892515	0.002282027	0.003041495	0.001791571	0.002113538	0.001562455	0.001582934	0.001169819	0.0012003	0.001802294	0.003248696	0.003067898	0.001656718	0.00148574	0.002206105	0.002526285	0.003301582	0.002773876	0.001564975	0.004800579	0.002488396	0.002988745	0.002380619	0.003247399	0.001466748	0.004036764	0.002170511	0.003365217	0.00283166	0.003415701	0.002959382	0.003809328	0.008641005	0.004462609	0.002488822	0.004362153
ASV2842.Bacteroidia	0.01664149	0.000141973	0.000295902	0.034519676	0	0.010623395	0	0	0.02673044	0.011277318	0.005449323	0	0.003886332	0.02276688	0.003095975	0.013686287	0	2.14339E-05	0	0.036590579	0	0.037592886	0	0	0.001443592	0.023111077	3.55625E-05	0.00235689	0.004471772	0.011047774	1.70785E-05	0.000240062	0.039112378	0.000178872	0.012166164	0.034702943	0.032590938	0.026497223	0	0	0	0.025153502	0	0.016770609	0
ASV17400.Mailhella	0.00347432	0.004259186	0.005148691	0.007667824	0.005109993	0.003210367	0.005136661	0.00626318	0.005297652	0.007129339	0.004642745	0.002685995	0.005319589	0.003188846	0.004832036	0.010033363	0.001722233	0.003086486	0.003386128	0.006283662	0.004214146	0.000755269	0.00074287	0.003384708	0.000890215	0.000645137	0.003325095	0.001225583	0.004438891	0.007782857	0.00387683	0.003060796	0.000662734	0.000166947	0.00142474	0.001249306	0.001703554	0.001573144	0.001286247	0.001039172	0.001441367	0.000945861	0.000418821	0.001490399	0.00235368
ASV17459.Escherichia.Shigella	0.000100705	0	0.001213197	0.003530093	5.91891E-05	0	0.000274801	0.000843526	0	0.005703471	0.000511489	0	0.002756264	0.001297786	0.00532392	4.87056E-05	0	0.004672597	0.029137084	0.002479268	0	2.43635E-05	0	0.000574192	0.000649616	7.58984E-05	0.003271751	0.000490233	0	0.001041244	0.001332126	0.000480125	0.000397641	0.018745752	0.012920438	0.000820251	0.000125672	4.10385E-05	1.42916E-05	5.64768E-05	0.002402279	0.000400789	0.000404379	0.000217048	0.00012553
ASV9137.Lachnospiraceae	0.001309164	0.000198762	0.002426394	0.002864583	0.000177567	0.002218071	0.00057074	0.004091101	0.000348131	0	0.000236072	0.000375249	0.000192938	0.002113538	0.004716299	0.003263278	0.000422435	0.000150038	0.000737302	0.003889886	0.000404558	7.30905E-05	0.000161493	0.000151103	0.000360898	0.000303594	0.000800156	0.001508409	0.002005721	0.000652983	0.000512356	0.001380359	0.000441823	0.000476991	0.000474913	0.000429055	0.000418907	0.000492463	0.000485916	0.000689016	0.000411819	0.00020841	0.000765431	0.000130229	0.000910089
ASV1848.Bacteroides	0	0.000738259	5.91804E-05	0	0.000394594	5.83703E-05	0.00014797	0	4.54084E-05	0.000362948	0.00304926	0.000671499	0.001543508	0	0	0.000121764	0.001608501	0.002057657	0	0	0.000202279	0.000292362	6.45974E-05	9.06618E-05	0.000264658	3.79492E-05	0.000231156	0.000433668	0.000131523	0.000476501	6.83142E-05	0.000160042	1.10456E-05	0.000536615	0	0.000100954	0.000614396	0.000383026	0.000242958	0.000135544	0.000343183	1.60316E-05	1.44421E-05	0	6.27648E-05
ASV19392.Cerasicoccus	0.002744209	0	5.91804E-05	5.78704E-05	0	0.000466962	2.11385E-05	0.000147617	9.08169E-05	0.010110699	0	0	0	0	0	0.00034094	0	0	0.036455489	4.2746E-05	0	0.001023267	6.45974E-05	0.003566032	0	0.000265645	0	0.001037031	0.000295926	0.000123537	0.001929875	0.000340088	2.20911E-05	0.001085155	0.000111744	0.000782394	0	0	0.000100041	0.000192021	0.000857957	0.002725364	0.000418821	0	0.00012553
ASV19333.Akkermansia	2.51762E-05	0.003407349	0.036721408	0.007233796	0.007201342	0.001692739	0.00042277	0	0.00184661	0	0.004190274	0.000394999	0.006256718	0	0.00133098	0	0.004906739	0.001886186	0	0	0.001011395	0.002022171	0.000193792	0.010788758	0.004571374	0.000379492	0.001795907	7.54205E-05	6.57614E-05	0.000264723	0.002903353	0.000580151	0	0.001574071	0.000488881	0.000214527	0.000404943	0.000109436	0.000986123	0.001321556	0.00257387	0.002981868	0.000404379	0.00133123	0.000627648
ASV1935.Bacteroidales	0	0.001902436	0.000798935	0.003009259	0.000138108	0.000671258	0.000190247	0.000864614	0.000166498	0.006247894	1.96726E-05	5.92499E-05	0.000358314	0	0.00199647	0.00413998	0.000844869	0.000450113	0.006499181	0.002607506	0.002629627	0.006505055	0.011013856	0.002115443	0.006063085	0	0.002951688	0.002884833	0.002104363	0.000141186	0.000136628	0.002100546	0.004826916	0	0.000111744	0.002056938	0.007205194	0.011490794	4.28749E-05	1.12954E-05	0.003191599	0.002019975	0.0218509	0.001548279	0.001788796
ASV1936.Bacteroidales	2.51762E-05	0	0	0	0	0	0	0	3.02723E-05	0	0	0	0	0.000482035	0	0	0	0	0.005188422	0.00128238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
