region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV1938.Bacteroidales	0.01184687	0.008530905	0.004944505	0.017066427	0.00766084	0.012628276	0.009115513	0.00519202	0.007161594	0.014982886	0.013436967	0.0059426	0.024397627	0.015690826	0.024129204	0.003078653	0.013083324	0.008961674	0.012010854	0.003938115	0.006292032	0.007103181	0.010784378	0.004135835	0.012178751	0.009523909	0.008928904	0.005185583	0.031593553	0.019765401
ASV17981.Treponema_2	0.0687015	0.000340189	0.004339481	0	0.038319078	0.014711556	0.01759819	0.003696493	0.002678658	0.007072104	0.009510476	0.008771821	0.009171813	0.003481551	0.014756349	0.017002849	0	2.45525E-05	0.011596687	0.023784966	0	0.015047972	0	0.008243536	0.068173326	0	1.24013E-05	0.013043266	0	0.000105556
ASV11290.Lysinibacillus	0	0.054456482	0	0	0	0	2.69291E-05	0	0	0.000215336	0	0	0	0	0	0	0	0.015050701	0	0	0	0	0.000218307	0.000225079	4.15185E-05	0.000156815	0.000248025	0.006478928	1.18594E-05	0
ASV2845.Bacteroidia	0.008070357	0.010231852	0.004485521	0.016180031	0.008270733	0.018929554	0.010017639	0.007167245	0.006509278	0.012942856	0.025457822	0.004880098	0.008959923	0.004483093	0.025072924	0.003078653	0.015690622	0.003535564	0.009925736	0.007813721	0.005038185	0.010907255	0.009998472	0.004600062	0.007805472	0.014834717	0.014955914	0.002830718	0.017872179	0.014118144
ASV17984.Treponema_2	0.004811174	0.002459831	0.06463323	0.008453835	0.004075865	0.010699313	0.00421441	0.001777703	6.93953E-05	0.010778158	0.008464485	0.015665732	0.008112362	0.001112825	0.048151167	0.004317778	0.000156126	0.009244028	0.002370751	0.005407095	0.000296364	0.003837738	0.018403301	0.005711392	0.015209599	0.013998369	0.012587274	0.006478928	0	0.023011255
ASV11296.Planococcaceae	0	0.001465432	0	2.64596E-05	1.48754E-05	0	2.69291E-05	0	0	0.00068001	0	0	3.027E-05	0	0	1.27745E-05	0	0.017309534	0	6.25098E-05	0	0	6.54922E-05	0.000858116	1.38395E-05	0.000846802	0.001227724	0.005990873	4.74378E-05	1.31945E-05
ASV2785.Bacteroidales_UCG.001	0.005043973	0.001543937	0.001105733	0.005582971	0	0.002494792	0	0.02167104	0.032921125	0.010324818	0.023526761	0.021620687	0.010322073	0.031810883	0.007056452	0	0.000202963	0.001387218	0.010539846	0.00121894	0.001823777	0.001380239	0.005501343	0.00205385	0.006186252	0.021525498	0.020201644	0	0.02019663	0.000171529
ASV15515.Ruminococcus_1	0.018623901	0.017742189	0.000208629	0.001428817	0.018371142	0.020241249	0.029702837	0.007872683	0.01089506	0.011152164	0.003234527	0.005510186	0.013016104	3.1795E-05	0.025759266	0.001558488	0.000374701	0.000527879	0.009297344	0.018940459	0.014088681	0.033731695	0.041543869	0.007582365	0	0.003564932	0.002331436	0.000951707	0	5.27781E-05
ASV15829.Kiritimatiellae_WCHB1.41	0.000310398	0.001125242	0.001064007	0.001164221	0.004864262	0.000565829	0.00203315	0.004994498	0.001401785	0.002142031	4.82765E-05	0.000284158	0.002088631	0.003004626	0.000107241	0.005339738	0.000265413	0.015946868	0.013139103	0.003813096	0.003146016	0.001178253	0.007444277	0.004431252	0.014835933	0.040416501	0.071158401	0.000305034	0.003913616	0.001134729
ASV4369.Rikenellaceae_RC9	0.001396793	0.007798189	0.00093883	0.002129996	0.010264039	0	0.005614725	0.006715765	0.017862348	0.001269352	0.001754047	0.008351762	0.003723211	0.003624628	0.009866163	0.008277871	0.000936754	0.000736576	0.003941731	0.027941866	0.00786504	0.028076081	0.001877442	0.039318572	0.006338486	0.012189767	0.010702283	0	0.011124156	0.021995276
